mode,timestep,mean_x,mean_y,cov_xx,cov_xy,cov_yy
constant_velocity,0,0.000000,0.000000,0.000000,0.000000,0.000000
constant_velocity,1,0.100000,0.000000,0.000006,0.000000,0.000006
constant_velocity,2,0.200000,0.000000,0.000063,0.000000,0.000063
constant_velocity,3,0.300000,0.000000,0.000219,0.000000,0.000219
constant_velocity,4,0.400000,0.000000,0.000525,0.000000,0.000525
constant_velocity,5,0.500000,0.000000,0.001031,0.000000,0.001031
constant_velocity,6,0.600000,0.000000,0.001788,0.000000,0.001788
constant_velocity,7,0.700000,0.000000,0.002844,0.000000,0.002844
constant_velocity,8,0.800000,0.000000,0.004250,0.000000,0.004250
constant_velocity,9,0.900000,0.000000,0.006056,0.000000,0.006056
constant_velocity,10,1.000000,0.000000,0.008313,0.000000,0.008313
constant_velocity,11,1.100000,0.000000,0.011069,0.000000,0.011069
constant_velocity,12,1.200000,0.000000,0.014375,0.000000,0.014375
constant_velocity,13,1.300000,0.000000,0.018281,0.000000,0.018281
constant_velocity,14,1.400000,0.000000,0.022838,0.000000,0.022838
constant_velocity,15,1.500000,0.000000,0.028094,0.000000,0.028094
constant_velocity,16,1.600000,0.000000,0.034100,0.000000,0.034100
constant_velocity,17,1.700000,0.000000,0.040906,0.000000,0.040906
constant_velocity,18,1.800000,0.000000,0.048563,0.000000,0.048563
constant_velocity,19,1.900000,0.000000,0.057119,0.000000,0.057119
constant_velocity,20,2.000000,0.000000,0.066625,0.000000,0.066625
turn_left,0,0.000000,0.000000,0.000000,0.000000,0.000000
turn_left,1,0.099955,0.003000,0.000006,0.000000,0.000006
turn_left,2,0.199775,0.008996,0.000062,0.000000,0.000062
turn_left,3,0.299370,0.017984,0.000219,-0.000000,0.000219
turn_left,4,0.398651,0.029955,0.000525,-0.000000,0.000525
turn_left,5,0.497528,0.044899,0.001030,0.000000,0.001030
turn_left,6,0.595913,0.062802,0.001785,0.000000,0.001785
turn_left,7,0.693716,0.083648,0.002837,0.000000,0.002837
turn_left,8,0.790850,0.107418,0.004238,0.000000,0.004238
turn_left,9,0.887227,0.134091,0.006034,0.000000,0.006034
turn_left,10,0.982760,0.163643,0.008275,-0.000000,0.008275
turn_left,11,1.077365,0.196048,0.011009,0.000000,0.011009
turn_left,12,1.170954,0.231275,0.014282,0.000000,0.014282
turn_left,13,1.263445,0.269294,0.018143,-0.000000,0.018143
turn_left,14,1.354754,0.310070,0.022637,0.000000,0.022637
turn_left,15,1.444799,0.353566,0.027810,0.000000,0.027810
turn_left,16,1.533498,0.399744,0.033709,0.000000,0.033709
turn_left,17,1.620773,0.448562,0.040377,0.000000,0.040377
turn_left,18,1.706544,0.499976,0.047859,0.000000,0.047859
turn_left,19,1.790734,0.553939,0.056197,0.000000,0.056197
turn_left,20,1.873267,0.610403,0.065435,0.000000,0.065435
combined,0,0.000000,0.000000,0.000000,0.000000,0.000000
combined,1,0.099978,0.001500,0.000006,-0.000000,0.000008
combined,2,0.199888,0.004498,0.000063,-0.000001,0.000083
combined,3,0.299685,0.008992,0.000219,-0.000003,0.000300
combined,4,0.399326,0.014978,0.000525,-0.000010,0.000749
combined,5,0.498764,0.022449,0.001032,-0.000028,0.001535
combined,6,0.597956,0.031401,0.001790,-0.000064,0.002772
combined,7,0.696858,0.041824,0.002850,-0.000131,0.004590
combined,8,0.795425,0.053709,0.004265,-0.000246,0.007129
combined,9,0.893613,0.067046,0.006086,-0.000428,0.010540
combined,10,0.991380,0.081822,0.008368,-0.000705,0.014989
combined,11,1.088682,0.098024,0.011167,-0.001109,0.020647
combined,12,1.185477,0.115637,0.014539,-0.001679,0.027701
combined,13,1.281723,0.134647,0.018546,-0.002461,0.036342
combined,14,1.377377,0.155035,0.023249,-0.003507,0.046773
combined,15,1.472399,0.176783,0.028714,-0.004879,0.059204
combined,16,1.566749,0.199872,0.035010,-0.006646,0.073853
combined,17,1.660386,0.224281,0.042211,-0.008885,0.090944
combined,18,1.753272,0.249988,0.050394,-0.011681,0.110705
combined,19,1.845367,0.276969,0.059643,-0.015132,0.133370
combined,20,1.936634,0.305202,0.070045,-0.019340,0.159178
